,precision,recall,f1-score,support,value
0,0.7792863359442994,0.7175829459849334,0.7471628838451269,6239.0,
1,0.5858989424206815,0.6628556235043871,0.6220059880239521,3761.0,
accuracy,0.697,0.697,0.697,0.697,
macro avg,0.6825926391824905,0.6902192847446602,0.6845844359345394,10000.0,
weighted avg,0.7065533372400667,0.697,0.700091375326783,10000.0,
ROC-AUC,,,,,0.7538628688432616
